locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
cg0688,cg0688,BX927147.1,,607959.0,609683.0,+,conserved hypothetical protein,Carbohydrate transport and metabolism,,Op356
cg0689,cg0689,BX927147.1,,609748.0,610179.0,+,hypothetical protein,No COG annotation,,Op357
cg0690,groES,BX927147.1,,610349.0,610648.0,+,Chaperonin 10 Kd subunit,"Post-translational modification, protein turnover, and chaperones",,Op358
cg0691,groEL',BX927147.1,,610660.0,611034.0,+,60 KDA CHAPERONIN (PROTEIN CPN60) (HSP60)-N-terminal fragment,"Post-translational modification, protein turnover, and chaperones",,Op358
cg0692,tnp1c(ISCg1c),BX927147.1,,611123.0,612433.0,+,TRANSPOSASE,"Replication, recombination and repair",,Op359
cg0693,'groEL,BX927147.1,,612457.0,613737.0,+,60 KDA CHAPERONIN (PROTEIN CPN60) (GROEL PROTEIN) C-terminal fragment,"Post-translational modification, protein turnover, and chaperones",,Op359
cg0695,whiB3,BX927147.1,,613876.0,614175.0,-,Transcription factor WhiB,Transcription,,Op360
cg0696,sigD,BX927147.1,,614617.0,615183.0,+,PUTATIVE RNA POLYMERASE SIGMA FACTOR%2C ECF family,Transcription,,Op361
cg0697,cg0697,BX927147.1,,615183.0,616211.0,+,conserved hypothetical protein,No COG annotation,,Op361
cg0698,cg0698,BX927147.1,,616261.0,616641.0,-,conserved hypothetical protein,Function unknown,,Op362
cg0699,guaB2,BX927147.1,,616797.0,618317.0,+,INOSITOL-MONOPHOSPHATE DEHYDROGENASE,Nucleotide transport and metabolism,,Op363
cg0700,guaB3,BX927147.1,,618434.0,619558.0,+,IMP dehydrogenase / GMP reductase C terminus,Nucleotide transport and metabolism,,Op364
cg0701,cg0701,BX927147.1,,619551.0,620456.0,-,drug/metabolite transporter DMT superfamily,Function unknown,,Op365
cg0702,cg0702,BX927147.1,,620547.0,621458.0,+,Bacterial regulatory protein%2C LysR family,Transcription,,Op366
cg0703,guaA,BX927147.1,,621465.0,623036.0,+,PUTATIVE GMP SYNTHASE,Nucleotide transport and metabolism,,Op366
cg0704,cg0704,BX927147.1,,623178.0,623621.0,+,conserved hypothetical protein,Function unknown,,Op367
cg0705,cg0705,BX927147.1,,623739.0,623921.0,+,hypothetical protein predicted by Glimmer,No COG annotation,,Op368
cg0706,cg0706,BX927147.1,,623918.0,624991.0,-,conserved hypothetical membrane protein,Transcription,,Op369
cg0707,cgtS7,BX927147.1,,625132.0,626403.0,+,PUTATIVE TWO COMPONENT SENSOR KINASE,Signal transduction mechanisms,,Op370
cg0709,cgtR7,BX927147.1,,626446.0,627138.0,+,putative two component response regulator,Transcription,,Op371
cg0710,cg0710,BX927147.1,,627138.0,627464.0,+,membrane protein,No COG annotation,,Op371
cg0711,cg0711,BX927147.1,,627528.0,628019.0,-,membrane protein,No COG annotation,,Op372
cg0712,cg0712,BX927147.1,,628035.0,629000.0,-,secreted protein,No COG annotation,,Op373
cg0713,cg0713,BX927147.1,,629269.0,630015.0,+,conserved hypothetical protein,Function unknown,,Op374
cg0714,cg0714,BX927147.1,,630012.0,631604.0,+,polymerase involved in DNA repair,"Replication, recombination and repair",,Op374
cg0715,cg0715,BX927147.1,,631609.0,632247.0,-,secreted protein,Function unknown,,Op375
cg0716,cg0716,BX927147.1,,632410.0,633273.0,+,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",,Op376
cg0717,crtEb,BX927147.1,,633282.0,634145.0,-,LYCOPENE ELONGASE,Coenzyme transport and metabolism,,Op377
cg0718,crtYf,BX927147.1,,634148.0,634540.0,-,C50 CAROTENOID EPSILON CYCLASE,Coenzyme transport and metabolism,,Op377
cg0719,crtYe,BX927147.1,,634537.0,634986.0,-,C50 CAROTENOID EPSILON CYCLASE,Function unknown,,Op377
cg0720,crtI2,BX927147.1,,634990.0,636639.0,-,PHYTOENE DEHYDROGENASE (DESATURASE),"Secondary metabolites biosynthesis, transport, and catabolism",,Op377
cg0721,crtB2,BX927147.1,,636636.0,637550.0,-,PHYTOENE SYNTHETASE,Lipid transport and metabolism,,Op377
cg0722,cg0722,BX927147.1,,637547.0,639739.0,-,drug exporter%2C RND superfamily,Function unknown,,Op377
cg0723,crtE,BX927147.1,,639775.0,640893.0,-,geranylgeranyl-pyrophosphate sythase,Coenzyme transport and metabolism,,Op378
cg0725,cg0725,BX927147.1,,641085.0,641672.0,+,transcriptional regulator%2C MarR family,Transcription,,Op379
cg0726,cg0726,BX927147.1,,641690.0,642340.0,-,secreted lipoprotein,Cell wall/membrane/envelope biogenesis,,Op380
cg0727,cg0727,BX927147.1,,642408.0,644021.0,+,nucleoside-diphosphate-sugar epimerase,Carbohydrate transport and metabolism,,Op381
cg0728,phr,BX927147.1,,644014.0,645462.0,-,DEOXYRIBODIPYRIMIDINE PHOTOLYASE,"Replication, recombination and repair",,Op382
cg0730,cg0730,BX927147.1,,645487.0,646242.0,+,Glycosyl transferase,Cell wall/membrane/envelope biogenesis,,Op383
cg0732,cg0732,BX927147.1,,646634.0,649051.0,-,PUTATIVE ABC TRANSPORT SYSTEM INTEGRAL MEMBRANE PR,Defense mechanisms,,Op384
cg0733,cg0733,BX927147.1,,649051.0,649770.0,-,PUTATIVE ABC TRANSPORTER ATP-BINDING PROTEIN,Defense mechanisms,,Op384
cg0734,cg0734,BX927147.1,,649773.0,649892.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op385
cg0735,cg0735,BX927147.1,,649898.0,650575.0,-,ABC transporter%2C transmembrane component,Inorganic ion transport and metabolism,,Op386
cg0736,cg0736,BX927147.1,,650572.0,651654.0,-,ABC-type transporter%2C ATPase component,Inorganic ion transport and metabolism,,Op386
cg0737,cg0737,BX927147.1,,651850.0,652749.0,-,ABC-type transport system%2C secreted lipoprotein component,Inorganic ion transport and metabolism,,Op387
cg0738,dnaE2,BX927147.1,,652909.0,656076.0,+,PUTATIVE DNA POLYMERASE III ALPHA CHAIN,"Replication, recombination and repair",,Op388
cg0739,cg0739,BX927147.1,,656095.0,656586.0,+,PUTATIVE INTEGRAL MEMBRANE PROTEIN,Function unknown,,Op389
cg0740,cg0740,BX927147.1,,656583.0,657998.0,+,membrane protein,Function unknown,,Op389
cg0741,sirR,BX927147.1,,658008.0,658679.0,+,IRON REPRESSOR PROTEIN,Transcription,,Op389
cg0742,cg0742,BX927147.1,,658663.0,659457.0,-,PUTATIVE INTEGRAL MEMBRANE PROTEIN,Function unknown,,Op390
cg0745,cg0745,BX927147.1,,659616.0,660392.0,+,protein deacetylase%2C SIR2 family,Transcription,,Op391
cg0747,cg0747,BX927147.1,,660394.0,660888.0,+,Cytidine and deoxycytidylate deaminase,Nucleotide transport and metabolism,,Op391
cg0748,cg0748,BX927147.1,,661004.0,662002.0,+,cobalamin/Fe3+-siderophores transport systems%2C secreted component,Inorganic ion transport and metabolism,,Op392
cg0749,spoU,BX927147.1,,662108.0,662581.0,-,PUTATIVE TRNA/RRNA METHYLTRANSFERASE PROTEIN,"Translation, ribosomal structure and biogenesis",,Op393
cg0750,folD,BX927147.1,,662627.0,663481.0,+,METHYLENETETRAHYDROFOLATE DEHYDROGENASE,Nucleotide transport and metabolism,,Op394
cg0751,cg0751,BX927147.1,,663488.0,663838.0,+,membrane protein,Function unknown,,Op394
cg0752,cg0752,BX927147.1,,663840.0,665222.0,-,PUTATIVE secreted or MEMBRANE PROTEIN,Function unknown,,Op395
cg0753,cg0753,BX927147.1,,665584.0,666549.0,-,secreted protein,Function unknown,,Op396
cg0754,metX,BX927147.1,,666641.0,667774.0,-,Homoserine O-Acetyltransferase,Amino acid transport and metabolism,,Op397
cg0755,metY,BX927147.1,,667918.0,669231.0,-,O-Acetylhomoserine (Thiol)-Lyase,Amino acid transport and metabolism,,Op397
cg0756,cstA,BX927147.1,,669663.0,671942.0,+,PUTATIVE CARBON STARVATION PROTEIN A,Signal transduction mechanisms,,Op398
cg0757,cg0757,BX927147.1,,671946.0,672149.0,+,conserved hypothetical protein,Function unknown,,Op398
cg0758,cg0758,BX927147.1,,672355.0,672474.0,+,hypothetical protein predicted by Glimmer,No COG annotation,,Op399
cg0759,prpD2,BX927147.1,,672615.0,674129.0,+,PROPIONATE CATABOLISM PROTEIN PRPD,Function unknown,,Op400
cg0760,prpB2,BX927147.1,,674129.0,675052.0,+,PROBABLE METHYLISOCITRIC ACID LYASE,Carbohydrate transport and metabolism,,Op400
cg0762,prpC2,BX927147.1,,675081.0,676232.0,+,METHYLCITRATE SYNTHASE,Energy production and conversion,,Op400
cg0763,mdh2,BX927147.1,,676552.0,677595.0,-,Malate/L-lactate dehydrogenase,Energy production and conversion,,Op401
cg0764,cg0764,BX927147.1,,677688.0,678410.0,-,PUTATIVE GNTR-FAMILY TRANSCRIPTIONAL REGULATOR,Transcription,,Op402
cg0765,cg0765,BX927147.1,,678517.0,679221.0,-,secreted protein,No COG annotation,,Op403
cg0766,icd,BX927147.1,,679301.0,681517.0,-,ISOCITRATE DEHYDROGENASE,Energy production and conversion,,Op404
cg0767,cg0767,BX927147.1,,681601.0,682500.0,-,Siderophore-interacting protein,Inorganic ion transport and metabolism,,Op405
cg0768,cg0768,BX927147.1,,682510.0,683319.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C ATPase component,Coenzyme transport and metabolism,,Op405
cg0769,cg0769,BX927147.1,,683316.0,684344.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C permease component,Inorganic ion transport and metabolism,,Op405
cg0770,cg0770,BX927147.1,,684341.0,685336.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C permease component,Inorganic ion transport and metabolism,,Op405
cg0771,irp1,BX927147.1,,685346.0,686398.0,-,DTXR/IRON REGULATED LIPOPROTEIN PRECURSOR%2C secrete,Inorganic ion transport and metabolism,,Op405
cg0772,cg0772,BX927147.1,,686723.0,687856.0,+,sugar efflux permease,Amino acid transport and metabolism,,Op406
cg0773,cg0773,BX927147.1,,687863.0,688822.0,+,PUTATIVE EXODEOXYRIBONUCLEASE,"Replication, recombination and repair",,Op407
cg0774,cg0774,BX927147.1,,688824.0,689483.0,+,membrane protein,Function unknown,,Op407
cg0775,cg0775,BX927147.1,,689620.0,689811.0,+,hypothetical protein,No COG annotation,,Op408
cg0776,cg0776,BX927147.1,,690386.0,691363.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C secreted component,Inorganic ion transport and metabolism,,Op409
cg0777,cg0777,BX927147.1,,691387.0,692169.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C ATPase component,Coenzyme transport and metabolism,,Op409
cg0778,cg0778,BX927147.1,,692176.0,693195.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C permease component,Inorganic ion transport and metabolism,,Op409
cg0779,trpS,BX927147.1,,693355.0,694392.0,+,TRYPTOPHAN TRNA SYNTHETASE,"Translation, ribosomal structure and biogenesis",,Op410
cg0780,cg0780,BX927147.1,,694501.0,695586.0,+,membrane protein ribonuclease BN-like family,Function unknown,,Op411
cg0781,cg0781,BX927147.1,,695645.0,696550.0,+,membrane protein,Function unknown,,Op412
cg0782,dac,BX927147.1,,696547.0,697857.0,-,D-ALANYL-D-ALANINE CARBOXYPEPTIDASE,Cell wall/membrane/envelope biogenesis,,Op413
cg0783,cg0783,BX927147.1,,698239.0,699468.0,-,conserved hypothetical protein,No COG annotation,,Op414
cg0784,cg0784,BX927147.1,,699535.0,700395.0,-,PUTATIVE CELL WALL-ASSOCIATED HYDROLASE,Cell wall/membrane/envelope biogenesis,,Op415
cg0785,cg0785,BX927147.1,,700392.0,700655.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op415
cg0786,upp,BX927147.1,,700754.0,701389.0,+,PUTATIVE URACIL PHOSPHORIBOSYLTRANSFERASE,Nucleotide transport and metabolism,,Op416
cg0787,cg0787,BX927147.1,,701483.0,701857.0,+,transcriptional regulator,Transcription,,Op417
cg0788,pmmB,BX927147.1,,701854.0,703446.0,-,PHOSPHOGLUCOMUTASE/PHOSPHOMANNOMUTASE,Carbohydrate transport and metabolism,,Op418
cg0789,amiA,BX927147.1,,703551.0,704738.0,+,PUTATIVE N-ACYL-L-AMINO ACID AMIDOHYDROLASE,Function unknown,,Op419
cg0790,lpdA,BX927147.1,,704878.0,706287.0,+,DIHYDROLIPOAMIDE DEHYDROGENASE,Energy production and conversion,,Op420
cg0791,pyc,BX927147.1,,706684.0,710106.0,+,PYRUVATE CARBOXYLASE,Energy production and conversion,,Op421
cg0792,cg0792,BX927147.1,,710312.0,711184.0,+,Thioredoxin domain-containing protein,"Post-translational modification, protein turnover, and chaperones",,Op422
cg0793,cg0793,BX927147.1,,711266.0,711754.0,+,secreted protein,Function unknown,,Op423
cg0794,cg0794,BX927147.1,,711990.0,713078.0,-,Cobalamin synthesis protein/P47K,Function unknown,,Op424
cg0795,cg0795,BX927147.1,,713197.0,714123.0,+,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Energy production and conversion,,Op425
cg0796,prpD1,BX927147.1,,714211.0,715707.0,+,PROPIONATE CATABOLIC PROTEIN PRPD,Function unknown,,Op426
cg0797,prpB1,BX927147.1,,715704.0,716621.0,+,PROBABLE METHYLISOCITRIC ACID LYASE,Carbohydrate transport and metabolism,,Op426
cg0798,prpC1,BX927147.1,,716614.0,717759.0,+,(METHYL)CITRATE SYNTHASE,Energy production and conversion,,Op426
cg0799,cg0799,BX927147.1,,717756.0,718133.0,-,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",,Op427
cg0800,cg0800,BX927147.1,,718157.0,719482.0,-,TRANSCRIPTIONAL REGULATOR%2C MERR FAMILY,Transcription,,Op427
cg0801,cg0801,BX927147.1,,719644.0,719826.0,+,hypothetical protein,No COG annotation,,Op428
cg0802,accBC,BX927147.1,,720050.0,721825.0,-,BIOTIN CARBOXYLASE AND BIOTIN CARBOXYL CARRIER PROTEIN,Lipid transport and metabolism,,Op429
cg0803,thtR,BX927147.1,,722017.0,722922.0,-,THIOSULFATE SULFURTRANSFERASE,Inorganic ion transport and metabolism,,Op430
cg0806,cg0806,BX927147.1,,723250.0,724317.0,+,conserved hypothetical protein,Coenzyme transport and metabolism,,Op431
cg0807,cg0807,BX927147.1,,724395.0,724811.0,-,conserved hypothetical protein,Function unknown,,Op432
cg0808,wbpC,BX927147.1,,724885.0,727035.0,+,LIPOPOLYSACCHARIDE BIOSYNTHESIS ACYLTRANSFERASE%2C m,Lipid transport and metabolism,,Op433
cg0809,cg0809,BX927147.1,,727342.0,727935.0,-,Nucleotide-binding protein,"Cell cycle control, cell division, chromosome partitioning",,Op434
cg0810,cg0810,BX927147.1,,727940.0,728188.0,-,conserved hypothetical protein,Function unknown,,Op434
cg0811,dtsR2,BX927147.1,,728212.0,729825.0,-,ACETYL/PROPIONYL COA CARBOXYLASE%2C BETA SUBUNIT,Lipid transport and metabolism,,Op434
cg0812,dtsR1,BX927147.1,,730166.0,731797.0,-,ACETYL/PROPIONYL-COA CARBOXYLASE BETA CHAIN,Lipid transport and metabolism,,Op434
cg0814,birA,BX927147.1,,731909.0,732775.0,+,BIFUNCTIONAL BIOTIN LIGASE/BIOTIN OPERON REPRESSOR,Coenzyme transport and metabolism,,Op435
cg0815,cg0815,BX927147.1,,732785.0,733273.0,+,membrane protein,Function unknown,,Op435
cg0816,purK,BX927147.1,,733294.0,734493.0,+,PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE ATPASE SUBUNIT,Nucleotide transport and metabolism,,Op435
cg0817,kup,BX927147.1,,734533.0,736419.0,+,K+ potassium transporter,Inorganic ion transport and metabolism,,Op435
cg0819,cg0819,BX927147.1,,736457.0,736816.0,+,hypothetical protein,No COG annotation,,Op435
cg0820,purE,BX927147.1,,736875.0,737372.0,+,PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE CATALYTIC,Nucleotide transport and metabolism,,Op435
cg0821,cg0821,BX927147.1,,737372.0,737827.0,+,conserved hypothetical protein,Function unknown,,Op435
cg0822,cg0822,BX927147.1,,737886.0,738680.0,+,conserved hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op436
cg0823,ntaA,BX927147.1,,738686.0,740002.0,-,NITRILOTRIACETATE MONOOXYGENASE COMPONENT A,Energy production and conversion,,Op437
cg0824,tnp5a(ISCg5a),BX927147.1,,740143.0,741645.0,-,Transposase,"Replication, recombination and repair",,Op438
cg0825,cg0825,BX927147.1,,741698.0,742489.0,-,short chain dehydrogenase%2C N-terminal fragment,Lipid transport and metabolism,,Op439
cg0826,cg0826,BX927147.1,,742870.0,743241.0,+,putative membrane protein,No COG annotation,,Op440
cg0828,cg0828,BX927147.1,,743288.0,743857.0,-,putative dihydrofolate reductase,Coenzyme transport and metabolism,,Op441
cg0829,cg0829,BX927147.1,,743882.0,744304.0,+,Lactoylglutathione lyase or related lyase,Amino acid transport and metabolism,,Op442
cg0830,cg0830,BX927147.1,,744301.0,744525.0,-,membrane protein,No COG annotation,,Op443
cg0831,cg0831,BX927147.1,,744537.0,745373.0,-,SUGAR ABC TRANSPORTER%2C PERMEASE PROTEIN,Inorganic ion transport and metabolism,,Op443
cg0832,cg0832,BX927147.1,,745370.0,746404.0,-,ABC TRANSPORTER%2C MEMBRANE SPANNING PROTEIN,Inorganic ion transport and metabolism,,Op443
cg0833,cg0833,BX927147.1,,746516.0,746971.0,-,conserved hypothetical protein,Function unknown,,Op444
cg0834,cg0834,BX927147.1,,747092.0,748366.0,-,Bacterial extracellular solute-binding protein%2C fa,Carbohydrate transport and metabolism,,Op445
cg0835,msiK2,BX927147.1,,748501.0,749499.0,-,ABC-type sugar transport systems%2C ATPase component,Inorganic ion transport and metabolism,,Op446
cg0836,cg0836,BX927147.1,,749586.0,749918.0,+,hypothetical protein,Function unknown,,Op447
cg0837,cg0837,BX927147.1,,749919.0,750290.0,+,hypothetical protein,No COG annotation,,Op448
cg0838,cg0838,BX927147.1,,750356.0,755158.0,-,helicase,"Replication, recombination and repair",,Op449
cg0839,cg0839,BX927147.1,,755167.0,758868.0,-,hypothetical protein,No COG annotation,,Op449
cg0840,cg0840,BX927147.1,,759100.0,759753.0,-,conserved hypothetical protein,Lipid transport and metabolism,,Op450
cg0841,cg0841,BX927147.1,,759834.0,762269.0,-,conserved hypothetical protein,"Replication, recombination and repair",,Op451
cg0842,cg0842,BX927147.1,,762376.0,764676.0,-,PUTATIVE DNA HELICASE,"Replication, recombination and repair",,Op452
cg0843,cg0843,BX927147.1,,764707.0,771009.0,-,helicase,"Replication, recombination and repair",,Op452
cg0844,cg0844,BX927147.1,,771017.0,775615.0,-,Type II restriction enzyme%2C methylase subunit,Defense mechanisms,,Op452
cg0845,cg0845,BX927147.1,,775620.0,778508.0,-,Superfamily II DNA/RNA helicase%2C SNF2 family,"Replication, recombination and repair",,Op452
cg0847,cg0847,BX927147.1,,778628.0,780184.0,-,putative transcriptional regulator,Transcription,,Op453
cg0848,wbbL,BX927147.1,,780442.0,781386.0,+,putative rhamnosyl transferase WbbL,Function unknown,,Op454
cg0849,rmlA2,BX927147.1,,781559.0,782647.0,+,GDP-MANNOSE PYROPHOSPHORYLASE,"Translation, ribosomal structure and biogenesis",,Op455
cg0850,whiB2,BX927147.1,,783037.0,783351.0,+,Transcription factor WhiB,Transcription,,Op456
cg0851,cg0851,BX927147.1,,783492.0,783635.0,+,hypothetical protein,No COG annotation,,Op457
cg0852,cg0852,BX927147.1,,783632.0,784090.0,-,conserved hypothetical protein,Function unknown,,Op458
cg0853,cg0853,BX927147.1,,784185.0,784577.0,+,conserved hypothetical protein,Function unknown,,Op459
cg0854,pmmA,BX927147.1,,784657.0,786033.0,+,PHOSPHOMANNOMUTASE,Carbohydrate transport and metabolism,,Op460
cg0855,cg0855,BX927147.1,,786108.0,787115.0,+,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,,Op460
cg0856,manA,BX927147.1,,787116.0,788300.0,+,MANNOSE-6-PHOSPHATE ISOMERASE,Carbohydrate transport and metabolism,,Op460
cg0858,cg0858,BX927147.1,,788640.0,789425.0,-,secreted protein,No COG annotation,,Op461
cg0859,cg0859,BX927147.1,,789669.0,790022.0,+,conserved hypothetical protein,No COG annotation,,Op462
cg0860,sahH,BX927147.1,,790133.0,791569.0,+,Adenosylhomocysteinase,Coenzyme transport and metabolism,,Op463
cg0861,tmk,BX927147.1,,791569.0,792180.0,+,THYMIDYLATE KINASE%2C PUTATIVE,Nucleotide transport and metabolism,,Op463
cg0862,mtrA,BX927147.1,,792205.0,792885.0,+,Response regulator,Signal transduction mechanisms,,Op463
cg0864,mtrB,BX927147.1,,792985.0,794484.0,+,Signal transduction histidine kinase,Signal transduction mechanisms,,Op464
cg0865,cg0865,BX927147.1,,794481.0,796187.0,+,secreted lipoprotein,Function unknown,,Op464
cg0866,cg0866,BX927147.1,,796187.0,796777.0,+,Purine/pyrimidine phosphoribosyl transferase,Function unknown,,Op464
cg0867,cg0867,BX927147.1,,796921.0,797586.0,+,Ribosome-associated protein Y (PSrp-1),"Translation, ribosomal structure and biogenesis",,Op465
cg0868,secA,BX927147.1,,797723.0,800260.0,+,PREPROTEIN TRANSLOCASE SUBUNIT SECA,"Intracellular trafficking, secretion, and vesicular transport",,Op466
cg0869,cg0869,BX927147.1,,800257.0,800640.0,-,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op467
cg0870,cg0870,BX927147.1,,800757.0,801167.0,+,Haloacid dehalogenase/epoxide hydrolase family,Function unknown,,Op468
cg0871,cg0871,BX927147.1,,801170.0,801676.0,+,conserved hypothetical protein,No COG annotation,,Op468
cg0872,cg0872,BX927147.1,,801678.0,802667.0,-,putative GTPase,Function unknown,,Op469
cg0873,aroA,BX927147.1,,802660.0,803952.0,-,3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE,Amino acid transport and metabolism,,Op469
cg0874,cg0874,BX927147.1,,803963.0,804604.0,+,Uncharacterized ACR%2C COG2135,Function unknown,,Op470
cg0875,cg0875,BX927147.1,,804601.0,805713.0,-,conserved hypothetical protein,Defense mechanisms,,Op471
cg0876,sigH,BX927147.1,,805881.0,806501.0,+,PUTATIVE RNA POLYMERASE SIGMA FACTOR%2C ECF family,Transcription,,Op472
cg0877,cg0877,BX927147.1,,806504.0,806773.0,+,Putative anti-sigma factor,Function unknown,,Op472
cg0878,whiB1,BX927147.1,,807005.0,807265.0,-,Transcription factor WhiB,Transcription,,Op473
cg0879,cg0879,BX927147.1,,807791.0,808213.0,+,membrane protein,No COG annotation,,Op474
cg0880,cg0880,BX927147.1,,808210.0,809412.0,-,secreted protein,Function unknown,,Op475
cg0881,rhlE,BX927147.1,,809416.0,810690.0,-,PROBABLE ATP-DEPENDENT RNA HELICASE PROTEIN,"Replication, recombination and repair",,Op475
cg0882,cg0882,BX927147.1,,810759.0,810986.0,+,conserved hypothetical protein,Function unknown,,Op476
cg0883,cg0883,BX927147.1,,811001.0,811870.0,+,conserved hypothetical secreted protein,Cell wall/membrane/envelope biogenesis,,Op476
cg0884,cg0884,BX927147.1,,811878.0,812639.0,+,conserved hypothetical protein,Function unknown,,Op476
cg0885,cg0885,BX927147.1,,812643.0,815693.0,+,HELICASE%2C UVRD/REP FAMILY,"Replication, recombination and repair",,Op476
cg0886,cg0886,BX927147.1,,815686.0,818898.0,+,PROBABLE DNA HELICASE II PROTEIN,"Replication, recombination and repair",,Op476
cg0887,cg0887,BX927147.1,,818938.0,819999.0,+,Kef-type K+ transport systems%2C predicted NAD-binding component,Inorganic ion transport and metabolism,,Op476
cg0888,cg0888,BX927147.1,,819996.0,820712.0,+,NTP pyrophosphohydrolase,"Replication, recombination and repair",,Op476
cg0889,cg0889,BX927147.1,,820727.0,822763.0,+,PUTATIVE DNA HELICASE RECQ,"Replication, recombination and repair",,Op476
cg0890,cg0890,BX927147.1,,822760.0,823560.0,-,conserved hypothetical protein,No COG annotation,,Op477
cg0891,cg0891,BX927147.1,,823657.0,824145.0,+,metal-dependent hydrolase,Function unknown,,Op478
cg0892,cg0892,BX927147.1,,824150.0,825598.0,-,conserved hypothetical protein,Function unknown,,Op479
cg0893,cg0893,BX927147.1,,825663.0,826715.0,+,secreted protein containing a PDZ domain,Signal transduction mechanisms,,Op480
cg0894,cg0894,BX927147.1,,826712.0,827389.0,-,conserved hypothetical protein%2C possibly secreted,No COG annotation,,Op481
cg0895,cg0895,BX927147.1,,827466.0,827990.0,-,conserved hypothetical protein,No COG annotation,,Op482
cg0896,cg0896,BX927147.1,,828089.0,831046.0,+,membrane protein,Function unknown,,Op483
cg0897,pdxR,BX927147.1,,831097.0,832458.0,-,pyridoxine biosynthesis transcriptional regulator%2C aminotransferase,Transcription,,Op484
cg0898,cg0898,BX927147.1,,832548.0,833447.0,+,Pyridoxine biosynthesis enzyme,Coenzyme transport and metabolism,,Op485
cg0899,cg0899,BX927147.1,,833444.0,834046.0,+,glutamine amidotransferase involved in pyridoxine biosynthesis,Coenzyme transport and metabolism,,Op485
cg0900,cg0900,BX927147.1,,834265.0,834630.0,-,membrane protein,Function unknown,,Op486
cg0901,cg0901,BX927147.1,,835045.0,836109.0,+,secreted protein,"Post-translational modification, protein turnover, and chaperones",,Op487
cg0902,cg0902,BX927147.1,,836391.0,836864.0,+,hypothetical protein,No COG annotation,,Op488
cg0903,cg0903,BX927147.1,,836858.0,837313.0,+,conserved hypothetical protein,No COG annotation,,Op489
cg0904,cg0904,BX927147.1,,837563.0,837724.0,+,hypothetical protein,No COG annotation,,Op490
cg0905,psp2,BX927147.1,,838785.0,840368.0,+,Putative secreted protein,Cell wall/membrane/envelope biogenesis,,Op491
cg0906,cg0906,BX927147.1,,840398.0,840829.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op491
cg0907,cg0907,BX927147.1,,840792.0,841106.0,+,hypothetical protein,No COG annotation,,Op492
cg0908,cg0908,BX927147.1,,841103.0,841615.0,+,putative secreted protein,No COG annotation,,Op493
cg0909,cg0909,BX927147.1,,841907.0,842077.0,-,hypothetical protein,No COG annotation,,Op494
cg0910,cg0910,BX927147.1,,842987.0,843769.0,-,Inositol monophosphatase,Carbohydrate transport and metabolism,,Op495
cg0911,cg0911,BX927147.1,,843776.0,844651.0,-,Inositol monophosphatase,Carbohydrate transport and metabolism,,Op495
cg0913,prfB,BX927147.1,,844730.0,845836.0,+,PEPTIDE CHAIN RELEASE FACTOR 2,"Translation, ribosomal structure and biogenesis",,Op496
cg0914,ftsE,BX927147.1,,845968.0,846657.0,+,CELL DIVISION ATP-BINDING PROTEIN,"Cell cycle control, cell division, chromosome partitioning",,Op497
cg0915,ftsX,BX927147.1,,846671.0,847573.0,+,PUTATIVE CELL DIVISION PROTEIN,"Cell cycle control, cell division, chromosome partitioning",,Op497
cg0916,smpB,BX927147.1,,847610.0,848104.0,+,SMALL PROTEIN B HOMOLOGUE,"Post-translational modification, protein turnover, and chaperones",,Op497
cg0918,cg0918,BX927147.1,,848105.0,848458.0,+,PUTATIVE UROPORPHYRIN-III C-METHYLTRANSFERASE,Function unknown,,Op497
cg0919,tnp18a(ISCg18a),BX927147.1,,849198.0,849500.0,+,transposase,"Replication, recombination and repair",,Op498
cg0921,cg0921,BX927147.1,,849967.0,850794.0,-,Siderophore-interacting protein,Inorganic ion transport and metabolism,,Op499
cg0922,cg0922,BX927147.1,,850794.0,851714.0,-,ABC-type cobalamin/Fe3+-siderophores transport system%2C secreted component,Inorganic ion transport and metabolism,,Op499
cg0923,cg0923,BX927147.1,,851879.0,852469.0,-,membrane protein,Function unknown,,Op500
cg0924,cg0924,BX927147.1,,852821.0,853837.0,+,ABC-type cobalamin/Fe3+-siderophores transport sys,Inorganic ion transport and metabolism,,Op501
